Year;Type;Team;Pos;Pld;W;D;L;GF;GA;GD;Pts
2016;Regular;Anderlecht;1;30;18;7;5;67;30;37;61
2016;Regular;Club Brugge;2;30;18;5;7;56;24;32;59
2016;Regular;Zulte Waregem;3;30;15;9;6;49;38;11;54
2016;Regular;Gent;4;30;14;8;8;45;29;16;50
2016;Regular;Oostende;5;30;14;8;8;52;37;15;50
2016;Regular;Charleroi;6;30;13;10;7;34;29;5;49
2015;Regular;Club Brugge;1;30;21;1;8;64;30;34;64
2015;Regular;Gent;2;30;17;9;4;56;29;27;60
2015;Regular;Anderlecht;3;30;15;10;5;51;29;22;55
2015;Regular;Oostende;4;30;14;7;9;55;44;11;49
2015;Regular;Genk;5;30;14;6;10;42;30;12;48
2015;Regular;Zulte Waregem;6;30;12;7;11;51;50;1;43
2015;Playoff;Club Brugge;1;10;7;1;2;25;9;16;54
2015;Playoff;Anderlecht;2;10;6;1;3;15;16;-1;47
2015;Playoff;Gent;3;10;3;3;4;10;15;-5;42
2015;Playoff;Genk;4;10;5;1;4;20;13;7;40
2015;Playoff;Oostende;5;10;3;2;5;14;19;-5;36
2015;Playoff;Zulte Waregem;6;10;1;2;7;11;23;-12;27
2014;Regular;Club Brugge;1;30;17;10;3;52;29;23;61
2014;Regular;Gent;2;30;16;9;5;69;28;41;57
2014;Regular;Anderlecht;3;30;16;9;5;51;30;21;57
2014;Regular;Standard Liège;4;30;16;5;9;49;39;10;53
2014;Regular;Kortrijk;5;30;16;3;11;54;35;19;51
2014;Regular;Charleroi;6;30;14;7;9;44;31;13;49
2014;Playoff;Gent;1;10;6;2;2;18;11;7;49
2014;Playoff;Club Brugge;2;10;5;1;4;16;16;0;47
2014;Playoff;Anderlecht;3;10;5;2;3;18;13;5;46
2014;Playoff;Standard Liège;4;10;4;1;5;14;13;1;40
2014;Playoff;Charleroi;5;10;3;2;5;13;15;-2;36
2014;Playoff;Kortrijk;6;10;2;2;6;11;22;-11;34
2013;Regular;Standard Liège;1;30;20;7;3;59;17;42;67
